Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
48,2.0,0.0,0.0,657.0,8.0,26.0,2599.0,0.1,11.006999999999994,0.0,0.0,575.2096016407013,,,,,,,,,,,,,,,,,,,,,3.1655523180155027,3.774960893320484,10.946577848851453,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,685.0,9.0,28.0,2627.0,0.1,14.005999999999995,0.0,0.0,578.0817265510559,,,,,,,,,,,,,,,,,,,,,4.428824692643108,4.8481392170261035,13.9097985959994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,722.0,10.0,37.0,2664.0,0.1,19.80600000000002,0.0,0.0,581.81755900383,,,,,,,,,,,,,,,,,,,,,6.324305315846741,6.7167089314907065,19.611203499108395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,778.0,11.0,56.0,2720.0,0.1,22.409000000000006,0.0,0.0,587.6343221664429,,,,,,,,,,,,,,,,,,,,,7.886652876554608,6.069838056748043,22.01134812381245,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,803.0,12.0,25.0,2745.0,0.1,11.505999999999995,0.0,0.0,590.5293278694153,,,,,,,,,,,,,,,,,,,,,3.4902497031365374,4.010634819301626,11.441615546899842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,828.0,13.0,25.0,2770.0,0.1,10.105999999999995,0.0,0.0,593.2228739261627,,,,,,,,,,,,,,,,,,,,,2.889315821832999,3.43965855724899,10.053864780149697,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,884.0,14.0,56.0,2826.0,0.1,29.805000000000025,0.0,0.0,598.8074927330017,,,,,,,,,,,,,,,,,,,,,11.016646087351429,8.771587823605985,29.24653163584839,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,917.0,15.0,33.0,2859.0,0.1,12.705999999999992,0.0,0.0,602.30637550354,,,,,,,,,,,,,,,,,,,,,3.3893680744476775,4.114245092553373,12.619376988142525,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,972.0,16.0,55.0,2914.0,0.1,27.009000000000032,0.0,0.0,607.7143833637238,,,,,,,,,,,,,,,,,,,,,7.781692370379478,8.780143964206744,26.63424878294624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1019.0,17.0,47.0,2961.0,0.1,32.205,0.0,0.0,612.5461308956146,,,,,,,,,,,,,,,,,,,,,12.079442992837974,10.85370558230287,31.70063575020127,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
